year,kind,subject,url,local
2017,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/h29/1j_seikai/b2017.pdf,sources/seikai/2017/B.pdf
2017,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/h29/1j_seikai/c2017.pdf,sources/seikai/2017/C.pdf
2017,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/h29/1j_seikai/d2017.pdf,sources/seikai/2017/D.pdf
2017,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/h29/1j_seikai/e2017v2.pdf,sources/seikai/2017/E.pdf
2017,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/h29/1j_seikai/f2017.pdf,sources/seikai/2017/F.pdf
2017,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/h29/1j_seikai/g2017.pdf,sources/seikai/2017/G.pdf
2016,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/h28/1j_seikai/a2016.pdf,sources/seikai/2016/A.pdf
2016,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/h28/1j_seikai/b2016.pdf,sources/seikai/2016/B.pdf
2016,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/h28/1j_seikai/c2016.pdf,sources/seikai/2016/C.pdf
2016,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/h28/1j_seikai/d2016.pdf,sources/seikai/2016/D.pdf
2016,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/h28/1j_seikai/e2016.pdf,sources/seikai/2016/E.pdf
2016,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/h28/1j_seikai/f2016.pdf,sources/seikai/2016/F.pdf
2016,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/h28/1j_seikai/g2016.pdf,sources/seikai/2016/G.pdf
2015,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/h27/1ji_seikai/a2015.pdf,sources/seikai/2015/A.pdf
2015,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/h27/1ji_seikai/b2015.pdf,sources/seikai/2015/B.pdf
2015,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/h27/1ji_seikai/c2015.pdf,sources/seikai/2015/C.pdf
2015,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/h27/1ji_seikai/d2015.pdf,sources/seikai/2015/D.pdf
2015,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/h27/1ji_seikai/e2015.pdf,sources/seikai/2015/E.pdf
2015,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/h27/1ji_seikai/f2015.pdf,sources/seikai/2015/F.pdf
2015,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/h27/1ji_seikai/g2015.pdf,sources/seikai/2015/G.pdf
2023S,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/r05/1ji(sai)_seikai/A.pdf,sources/seikai/2023S/A.pdf
2023S,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/r05/1ji(sai)_seikai/B.pdf,sources/seikai/2023S/B.pdf
2023S,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/r05/1ji(sai)_seikai/C.pdf,sources/seikai/2023S/C.pdf
2023S,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/r05/1ji(sai)_seikai/D.pdf,sources/seikai/2023S/D.pdf
2023S,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/r05/1ji(sai)_seikai/E.pdf,sources/seikai/2023S/E.pdf
2023S,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/r05/1ji(sai)_seikai/F.pdf,sources/seikai/2023S/F.pdf
2023S,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/r05/1ji(sai)_seikai/G.pdf,sources/seikai/2023S/G.pdf
2025,2ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2025/A2JI2025.pdf,sources/2ji/2025/A.pdf
2025,2ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2025/B2JI2025.pdf,sources/2ji/2025/B.pdf
2025,2ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2025/C2JI2025.pdf,sources/2ji/2025/C.pdf
2025,2ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2025/D2JI2025.pdf,sources/2ji/2025/D.pdf
2024,2ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2024/A2JI2024.pdf,sources/2ji/2024/A.pdf
2024,2ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2024/B2JI2024.pdf,sources/2ji/2024/B.pdf
2024,2ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2024/C2JI2024.pdf,sources/2ji/2024/C.pdf
2024,2ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2024/D2JI2024.pdf,sources/2ji/2024/D.pdf
2023,2ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2023/A2JI2023.pdf,sources/2ji/2023/A.pdf
2023,2ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2023/B2JI2023.pdf,sources/2ji/2023/B.pdf
2023,2ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2023/C2JI2023.pdf,sources/2ji/2023/C.pdf
2023,2ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2023/D2JI2023.pdf,sources/2ji/2023/D.pdf
2022,2ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2022/a2ji2022.pdf,sources/2ji/2022/A.pdf
2022,2ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2022/b2ji2022.pdf,sources/2ji/2022/B.pdf
2022,2ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2022/c2ji2022.pdf,sources/2ji/2022/C.pdf
2022,2ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2022/d2ji2022.pdf,sources/2ji/2022/D.pdf
2021,2ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2021/a2ji2021.pdf,sources/2ji/2021/A.pdf
